iter	TotalF1	MultiClass
0	0.2574001658	1.768270413
1	0.2726164385	1.748386593
2	0.2920285993	1.735763352
3	0.2836014342	1.720798935
4	0.3003965324	1.712658278
5	0.3072520818	1.699415767
6	0.3108682067	1.692297415
7	0.3279716132	1.678731262
8	0.3312833728	1.671666959
9	0.3297337856	1.663799458
10	0.3336945996	1.659725429
11	0.3374625733	1.654482336
12	0.338703173	1.649776446
13	0.3352990368	1.644881584
14	0.337917429	1.640461104
15	0.3379909641	1.635764744
16	0.3419428012	1.632053116
17	0.3421353921	1.628283851
18	0.3407417725	1.623860743
19	0.3428950002	1.62126451
20	0.3474548395	1.617614151
21	0.343067975	1.61550293
22	0.3508199991	1.611112857
23	0.3549753362	1.60899945
24	0.3516107619	1.605714432
25	0.3555817245	1.602932728
26	0.3585189371	1.598280768
27	0.3559642044	1.594163573
28	0.3539307927	1.591929086
29	0.3547124173	1.59049359
30	0.3638764079	1.587664716
31	0.365386332	1.586781052
32	0.3684569148	1.584368339
33	0.3692362021	1.582833219
34	0.3670249177	1.580890618
35	0.3674098068	1.578958457
36	0.370955307	1.576290784
37	0.371681273	1.574937898
38	0.3697679585	1.572549498
39	0.3706741186	1.571299413
40	0.3738724479	1.568731071
41	0.3748046546	1.567300546
42	0.3767688349	1.56567678
43	0.3784727413	1.56437047
44	0.3773316745	1.563601453
45	0.37724202	1.560707254
46	0.376559661	1.55896219
47	0.3741342738	1.556879543
48	0.3803954735	1.555273904
49	0.3790459505	1.554245656
50	0.3799350123	1.552668867
51	0.3816088066	1.550320356
52	0.3823383029	1.549499056
53	0.3839990046	1.547706962
54	0.3846157922	1.547345126
55	0.3834125633	1.546213997
56	0.3822864178	1.544426356
57	0.3829826961	1.542939854
58	0.3842067334	1.541436805
59	0.3829655017	1.540691659
60	0.3840649657	1.538070909
61	0.3876068503	1.536084704
62	0.3880569684	1.535182392
63	0.388102113	1.534198537
64	0.3880160502	1.532296747
65	0.3891311539	1.530924592
66	0.3895207964	1.529062484
67	0.3898752803	1.528212439
68	0.3915743409	1.527034043
69	0.3920426763	1.526193727
70	0.3925473604	1.525471382
71	0.3901430587	1.523482414
72	0.3907753166	1.522661017
73	0.3920145684	1.521628347
74	0.3930580449	1.520701696
75	0.3941863214	1.520022824
76	0.3937765497	1.518581412
77	0.3935258584	1.517700134
78	0.392885383	1.516962957
79	0.3933573286	1.516454886
80	0.3968401699	1.514249176
81	0.3959889557	1.512996379
82	0.3945409041	1.511508695
83	0.3942747309	1.510883127
84	0.3972652275	1.508954566
85	0.397374241	1.508237473
86	0.3985938621	1.507494803
87	0.398070488	1.506265847
88	0.3981719164	1.505985198
89	0.3987368624	1.504794278
90	0.3980512444	1.503649572
91	0.3981168393	1.503236688
92	0.401022566	1.502096842
93	0.4003252161	1.501498346
94	0.4011619792	1.500656349
95	0.4020955543	1.499506205
96	0.4024761549	1.498750654
97	0.4022758376	1.497713918
98	0.4013617194	1.496989068
99	0.4022772623	1.496196252
100	0.403804782	1.494921956
101	0.4060686838	1.493491864
102	0.4062452725	1.492794827
103	0.406843902	1.492531075
104	0.4075002668	1.49148505
105	0.405861747	1.490608045
106	0.406939868	1.490300481
107	0.4055418875	1.489469835
