iter	Passed	Remaining
0	4	9264
1	8	8506
2	13	8676
3	19	9703
4	23	9437
5	28	9336
6	32	9242
7	39	9915
8	47	10420
9	52	10385
10	57	10431
11	61	10186
12	65	9977
13	69	9844
14	74	9914
15	79	9825
16	84	9837
17	88	9743
18	93	9701
19	96	9585
20	101	9569
21	105	9481
22	109	9443
23	117	9670
24	121	9597
25	125	9522
26	129	9497
27	148	10426
28	151	10329
29	155	10186
30	158	10064
31	161	9935
32	165	9865
33	169	9824
34	173	9756
35	177	9685
36	181	9651
37	185	9590
38	190	9576
39	194	9513
40	198	9467
41	202	9423
42	205	9369
43	210	9352
44	214	9306
45	218	9268
46	222	9243
47	226	9225
48	231	9208
49	235	9179
50	239	9164
51	243	9129
52	248	9111
53	252	9096
54	256	9059
55	260	9027
56	264	9020
57	269	9024
58	273	8983
59	276	8943
60	281	8960
61	289	9058
62	294	9040
63	298	9026
64	302	9004
65	306	8988
66	311	8990
67	315	8966
68	319	8943
69	323	8916
70	327	8909
71	332	8893
72	336	8879
73	340	8866
74	345	8856
75	349	8836
76	352	8814
77	356	8792
78	360	8774
79	365	8761
80	369	8751
81	373	8737
82	377	8721
83	381	8705
84	386	8718
85	391	8720
86	396	8713
87	400	8698
88	404	8681
89	408	8671
90	413	8665
91	416	8643
92	421	8635
93	425	8624
94	429	8608
95	433	8595
96	437	8578
97	441	8571
98	445	8547
99	449	8533
100	453	8526
101	457	8513
102	462	8513
103	466	8497
104	470	8498
105	475	8499
106	480	8504
107	485	8513
108	490	8511
109	494	8496
110	498	8491
111	505	8522
112	509	8510
113	513	8497
114	518	8497
115	525	8537
116	532	8566
117	538	8587
118	543	8591
119	547	8576
120	551	8568
121	555	8551
122	560	8559
123	564	8545
124	569	8536
125	573	8523
126	578	8534
127	595	8713
128	600	8706
129	603	8679
130	606	8658
131	611	8648
132	615	8640
133	620	8636
134	623	8620
135	628	8612
136	632	8595
137	637	8598
138	642	8596
139	646	8585
140	650	8574
141	655	8574
142	670	8711
143	675	8709
144	680	8700
145	684	8695
146	688	8679
147	693	8676
148	698	8678
149	702	8660
150	706	8647
151	710	8638
152	715	8641
153	719	8625
154	723	8612
155	727	8600
156	732	8600
157	737	8595
158	741	8585
159	746	8580
160	751	8585
161	756	8585
162	760	8569
163	764	8561
164	776	8635
165	780	8625
166	784	8612
167	789	8606
168	794	8602
169	797	8589
170	802	8578
171	805	8563
172	811	8564
173	818	8589
174	822	8582
175	827	8579
176	835	8600
177	839	8589
178	843	8577
179	848	8579
180	855	8595
181	860	8592
182	864	8582
183	871	8600
184	875	8590
185	880	8583
186	884	8574
187	890	8586
188	894	8575
189	899	8567
190	903	8558
191	910	8576
192	915	8570
193	920	8568
194	925	8565
195	931	8572
196	935	8564
197	940	8555
198	945	8556
199	951	8561
200	955	8549
201	959	8538
202	963	8529
203	968	8523
204	972	8512
205	976	8503
206	980	8491
207	985	8490
208	989	8483
209	994	8474
210	998	8464
211	1003	8459
212	1009	8466
213	1015	8477
214	1019	8466
215	1026	8474
216	1030	8463
217	1033	8451
218	1038	8441
219	1043	8440
220	1055	8497
221	1058	8479
222	1064	8484
223	1068	8472
224	1072	8461
225	1076	8448
226	1081	8445
227	1102	8570
228	1106	8554
229	1109	8537
230	1112	8520
231	1116	8506
232	1121	8502
233	1130	8535
234	1134	8520
235	1138	8509
236	1143	8505
237	1147	8493
238	1151	8481
239	1154	8469
240	1160	8470
241	1165	8468
242	1169	8457
243	1173	8445
244	1179	8445
245	1183	8438
246	1187	8426
247	1191	8415
248	1195	8406
249	1200	8403
250	1204	8392
251	1208	8380
252	1212	8369
253	1216	8363
254	1237	8468
255	1240	8454
256	1245	8446
257	1249	8433
258	1256	8447
259	1263	8456
260	1268	8450
261	1273	8446
262	1278	8441
263	1282	8435
264	1286	8425
265	1290	8415
266	1294	8403
267	1301	8411
268	1306	8407
269	1311	8400
270	1315	8393
271	1319	8383
272	1323	8373
273	1327	8363
274	1332	8358
275	1336	8350
276	1340	8339
277	1344	8328
278	1348	8320
279	1353	8312
